Comment Date,Comment
"19 Oct 2018, 19:10:37",I was on the desktop site dude. 
"19 Oct 2018, 19:11:49",Also the garmin connect app is very good for that stuff. 
"19 Oct 2018, 20:17:21","Nah dude I don't pay either, you can see it on the desktop site. "
"21 Oct 2018, 16:34:06","Haha not far off dude. Came 11th, 3 mins behind the winner. "
"22 Oct 2018, 18:21:47",HUGE day for Chezy lad! 
"24 Oct 2018, 10:45:35",🔥
"25 Oct 2018, 18:30:19","Hahaha, to be fair it was a shorter day in work today. Get up, walk the dog, cycle to work, cycle home, run with dog, might be another walk later on... "
"27 Oct 2018, 19:14:39",Absolute squad right there. 
"31 Oct 2018, 12:57:54",Cheers dude. It's a while since I've run a 10k that fast.
"3 Nov 2018, 10:12:51",Nice. No photos?? 
"5 Nov 2018, 09:51:57",Amazing run! 
"6 Nov 2018, 13:50:04",Yeeeesssss
"8 Nov 2018, 19:28:51",Big dog with the evening run! 
"8 Nov 2018, 20:45:15",Epic. 
"9 Nov 2018, 18:44:53",Very nice chez
"10 Nov 2018, 15:17:28",Yes lovely! 
"17 Nov 2018, 13:04:47",Yes boys! 
"19 Nov 2018, 19:17:49",Some distance dude! 
"7 Dec 2018, 21:52:10",😂
"10 Dec 2018, 10:05:45",Great work dude.
"16 Dec 2018, 20:24:05","Wow Charlotte, impressive distance!"
"18 Dec 2018, 14:37:03",Still fast kel. 
"4 Jan 2019, 10:54:31",Boom.
"8 Jan 2019, 20:35:04",Very nice. 
"13 Jan 2019, 14:29:57",Well done dude. Bet you loved every second? 
"13 Jan 2019, 14:30:46",Yeeeessssss
"16 Jan 2019, 10:16:06",Greatly run lovely! 
"17 Jan 2019, 09:50:25",Bang bang bang. Saving the Gran Fondo for next weekend! 
"20 Jan 2019, 12:45:15",Amazing run! 
"23 Jan 2019, 15:14:31",Bono must be knackered!
"27 Jan 2019, 17:21:36",What a run! 
"10 Feb 2019, 13:05:09",Well done Erin! 
"15 Feb 2019, 16:19:43",WOW.
"15 Feb 2019, 17:46:48",Big that dude! 
"16 Feb 2019, 11:48:54",Very nice chez! 
"16 Feb 2019, 12:54:03",Cheers Kom 😉
"20 Feb 2019, 20:07:40",Nice little Kom there Mark! 
"20 Feb 2019, 20:40:58",Shame 😔
"22 Feb 2019, 13:38:02",Some big results there dude! 
"26 Feb 2019, 10:18:44",You'll have to go again Ash! 
"27 Feb 2019, 12:08:37",Nice! 
"2 Mar 2019, 11:13:00",Yeeeeessss Emma! 
"2 Mar 2019, 11:20:50",Good effort that dude. 
"2 Mar 2019, 11:21:39",This guy loves a top 10!
"11 Mar 2019, 18:30:29",Yes chez! Very nice. 
"12 Mar 2019, 15:11:17",She left me half way round so maybe not! 
"13 Mar 2019, 10:26:02",What a run! 
"16 Mar 2019, 11:34:38",Genuinely great effort that Ash 😘
"16 Mar 2019, 11:38:09",Very nice nick 👏
"26 Mar 2019, 16:28:02",Chief 😎
"30 Mar 2019, 18:54:41",Need to go quicker then! 
"30 Mar 2019, 18:55:31",Also great pace on the last km 👍
"4 Apr 2019, 09:26:14",Wow! 
"6 Apr 2019, 09:22:22",Bravo Fiona 👏
"6 Apr 2019, 09:45:55",King barnett. Crazy pace dude over that segment. 
"7 Apr 2019, 13:37:15",It all counts! 
"8 Apr 2019, 10:18:10",New pb?! 
"10 Apr 2019, 09:58:40",😂
"11 Apr 2019, 10:18:47",Amazing dude. 
"11 Apr 2019, 17:26:10","Cheers dude, I already had that kom but just smashed my pb. "
"14 Apr 2019, 15:40:12",👏
"14 Apr 2019, 18:34:55",Cheers guys! 
"17 Apr 2019, 09:18:23",QOMs everywhere! 
"20 Apr 2019, 18:34:56",Thanks for stopping by dude! Nice skins.
"20 Apr 2019, 18:35:32",Great to see you boys!
"22 Apr 2019, 15:22:16",Well in Stephy lad! 
"27 Apr 2019, 13:28:34",Absolutely no messing about Steph! Intervals. We go again. 
"27 Apr 2019, 16:57:09",What a ride that is. 
"28 Apr 2019, 17:03:08",Big. Dog. 
"29 Apr 2019, 14:07:19",Nice!
"29 Apr 2019, 14:10:39",Well this is amazing. Fazel with the fast finish!
"29 Apr 2019, 15:18:24",He's back.
"30 Apr 2019, 19:49:21",😂
"1 May 2019, 14:44:36",Great pace eira! 
"1 May 2019, 17:39:14",👏
"1 May 2019, 17:40:02",Which triathlon are you doing Sammy? 
"3 May 2019, 12:41:29",Feeling fresh this morning Chez?! Also nice top 10!
"3 May 2019, 14:29:20",Some pace there pal! 
"3 May 2019, 14:32:56",Spam kudosing your cycle tour last year 😘
"4 May 2019, 09:02:34",Wow Eira!!! 
"5 May 2019, 15:02:50",Good effort chez! 
"5 May 2019, 16:11:55",You go again! 
"5 May 2019, 17:54:30",Monster walk! 
"5 May 2019, 18:16:58",Big dog with the big finish
"5 May 2019, 18:17:33",Slightly disappointed no KOMs though dude. 
"5 May 2019, 18:30:29",😂
"7 May 2019, 20:02:45",Yes Tom 💪
"10 May 2019, 06:08:10",I'd love to have a go at some of these segments whenever I'm back. 
"16 May 2019, 19:04:49",👏
"17 May 2019, 15:51:40",Flying Sammy!
"17 May 2019, 18:51:39",There she is! 
"18 May 2019, 09:04:55",Sub 50 dude! 👏
"18 May 2019, 16:17:12",Great run that chez. 
"18 May 2019, 16:19:18",Yes Jo! 
"19 May 2019, 20:12:59",Bravo 👏
"20 May 2019, 10:45:42",Lol. Casual 3 mins off your 10k PB?
"21 May 2019, 16:58:51",Very nice 👏
"22 May 2019, 19:22:10",Well done Jo! Keep going! 
"22 May 2019, 19:22:48",Big run perks! 
"23 May 2019, 09:29:53",Yes boys.
"25 May 2019, 11:54:47",Very good of you! I hope you turned up on time 😅
"28 May 2019, 08:59:03",Big Zwifting that dude.
"28 May 2019, 09:05:15",Yeah I keep meaning to sign back up. Will get on it 👍
"31 May 2019, 06:40:55",Definitely push harder than running on your own chez! 
"2 Jun 2019, 12:06:39",Nice coat 👍
"8 Jun 2019, 09:58:49","Cheers dude! Didn't feel that great actually, tired legs, so pleased with that. "
"9 Jun 2019, 08:29:06","😂 Haha you boys are quick, love seeing you get new pbs every week. Sub 21 definitely doable! Sub 18 next for me 💪"
"9 Jun 2019, 08:31:06",Definitely! 
"10 Jun 2019, 08:31:51",Great work dude! 
"14 Jun 2019, 12:51:47",There he is! 
"14 Jun 2019, 19:40:20",👏
"23 Jun 2019, 17:14:16",Yes Janey! 
"25 Jun 2019, 19:49:02",Bit stiff to begin with but felt nothing by the end! 
"6 Jul 2019, 07:51:44",👏
"6 Jul 2019, 20:29:39",Amazing pace Jo! 
"11 Jul 2019, 22:52:24",💪
"18 Jul 2019, 20:56:13",Leave the poor guy alone 😂
"20 Jul 2019, 19:24:00",Great effort that cherry 
"22 Jul 2019, 06:24:25","It was ok when the run's like this, not sure how it will be at the moment if I try and go faster though. Gonna ease back into it and do most on the bike for a while I think. "
"2 Aug 2019, 14:29:36",It's a cycle marked as a run. He's taken several run segment records.
"2 Aug 2019, 19:51:17",Trophies absolutely everywhere. 
"8 Aug 2019, 08:51:42",Cheers dude loved it.
"10 Aug 2019, 10:05:39",Great ride and great photo. 
"12 Aug 2019, 08:36:54",Great run Jo!
"27 Aug 2019, 20:04:06",Yessss. They're the best ones! 
"29 Aug 2019, 14:55:18",😂 It was cold and windy at the top of there! Very glad I packed it. Laura wears hers everywhere all year round... 
"29 Aug 2019, 14:59:57","Yeah, the hats came off as soon as we headed down. Disappointed not to see any loafers, suits or Prada bags at the top of Cadair. "
"30 Aug 2019, 20:26:05",😂 ffs - cycling 101 guys!
"31 Aug 2019, 17:08:24",Nice dude! 
"2 Sep 2019, 19:22:36",Salomon Sense Pro 3. I've got a pair of sense rides and I love them but they're wrecked and the pro 3 has slightly more aggro grip 🤘
"4 Sep 2019, 20:04:31",Great effort that fiona lad. 💪👏😘
"5 Sep 2019, 16:10:25",Finishing strong! 💪
"8 Sep 2019, 10:58:24",Big crown there Steph! Great run 💪
"10 Sep 2019, 06:08:37",Haha disappointed I didn't see you there Meg! 
"10 Sep 2019, 06:09:17",Cheers boys - starting to get back to normal 🤘
"11 Sep 2019, 11:25:13",Haha don't jinx it dude.
"12 Sep 2019, 21:15:32",Happy birthday Sam - it's my birthday too! Will be back with the harriers in the next week or so. 
"13 Sep 2019, 11:15:47",Hilarious route dude ;)
"13 Sep 2019, 13:04:31",Hahaha I left the car at work yesterday so had no choice. I figured a short slow downhill run wouldn't be so bad on a rest day. 
"14 Sep 2019, 18:21:02",Careful now Tom 😂 nice work boys 
"15 Sep 2019, 05:34:14",Do you ever sleep dude? 😂
"15 Sep 2019, 13:51:08",Love that decent 🤘
"15 Sep 2019, 14:02:34",Great run dude! 
"17 Sep 2019, 19:02:23",All counts Charlotte 💪
"19 Sep 2019, 14:29:58",Completely agree.
"20 Sep 2019, 18:20:52","Stopped reading after 2 hours chez, what happened at the end? "
"28 Sep 2019, 13:51:30",Amazing Eira! X
"28 Sep 2019, 17:10:54",😂
"3 Oct 2019, 17:36:02",You've gone way too early with the tights dude! I hope you've got a pair of thermal tights too for when it actually gets cold. 
"3 Oct 2019, 17:37:58",I love then too. Can't wait to get mine on 😂
"3 Oct 2019, 19:17:22",It's hard to argue with that Barnett! And spot on chez. 
"5 Oct 2019, 19:53:05","😂 To be fair, Bono runs faster than anyone, but he stops to sniff stuff a lot. "
"7 Oct 2019, 20:36:20",Awesome run lovely 😊😍
"10 Oct 2019, 18:19:21",Nice work Chez. When are tou going to put the hammer down and smash a 10k pb at 100% effort? 
"12 Oct 2019, 15:32:54",Greatly effort Nick! The 21s coming soon! 
"13 Oct 2019, 16:25:23",Tilly's fast! 
"13 Oct 2019, 16:29:45",Amazing effort Steph. And great pacing and finish! How was it? 
"14 Oct 2019, 17:13:36",Nice pace Phil! 
"19 Oct 2019, 17:22:22",Quality Chez. 
"19 Oct 2019, 17:25:04",Haha yes I was referring to the race report. 
"23 Oct 2019, 20:10:41",💪
"30 Oct 2019, 19:20:27",Very nice dude 
"30 Oct 2019, 20:54:40",Begun marathon training Steph?! 
"1 Nov 2019, 14:12:15",Yes. Janey. That's big.
"4 Nov 2019, 17:53:14",😂
"4 Nov 2019, 19:48:01",Nice dude 👍
"4 Nov 2019, 22:58:09",An hour on a treadmill 🤮
"9 Nov 2019, 14:56:33",😂 Well done Eira! I bet you will. 
"9 Nov 2019, 14:57:16",Yeeeeessssss 
"9 Nov 2019, 17:39:32",Shoes choice - Brooks Ghost. 
"15 Nov 2019, 12:18:36",Skipping work to get it done 💪
"15 Nov 2019, 12:22:52",You went up one of the biggest climbs in the game 😂 Zwift has some interesting climbing mechanics depending on your set up - try a flat ride and see what your average is? 
"23 Nov 2019, 13:52:40",Epic Ash 👊😎
"26 Nov 2019, 19:16:15",Getting keen for some speed chez?! 
"26 Nov 2019, 20:27:02",Yeah good man. You've been running consistently for a while so not surprised you found it comfortable. 5 min miles round garstang 10...
"7 Dec 2019, 15:39:21",😂
"7 Dec 2019, 22:36:35","Cheers boys! Great race, paced myself quite well and not too muddy. Think I snuck a sub 20 5k in there somewhere too 😉"
"14 Dec 2019, 18:17:26",Haha fortunately not face to the floor - more of a wash out and slide down on my side! Got a decent graze and limp to show for it now 😂
"14 Dec 2019, 18:17:34",Harry? 
"14 Dec 2019, 19:23:09",Gotcha. Yeah he didn't stay in sight for long!
"24 Dec 2019, 12:48:15",Nice trophies Chez 💪
"25 Dec 2019, 19:53:02",Great time dude. Merry Christmas! 
"4 Jan 2020, 18:30:44",😂
"14 Jan 2020, 22:17:36",Really was! 
"16 Jan 2020, 14:00:30",The pace in the segment was faster than usain bolt...
"16 Jan 2020, 14:01:33",17km in 30mins - world record pace
"16 Jan 2020, 15:51:52",You're right. Those 90m really hurt. 
"8 Feb 2020, 15:50:49",Wow! 
"18 Feb 2020, 11:02:48",The big lad has been putting in some miles to be fair! He'd probably run 9.5k then get distracted. 
"25 Feb 2020, 10:24:48",Literally had one yesterday 😂
"2 Mar 2020, 19:42:19",Yeah Manchester at beginning of April Ben 
"8 Mar 2020, 13:28:29",Great work Damo 👏
"12 Mar 2020, 09:46:04","Cheers dude, it might actually have been correct for this run! Felt comfortable. "
"15 Mar 2020, 09:22:21",Congratulations! Love the dress 🙌
"19 Mar 2020, 17:51:12",Nice work chez ! Cheeky top 10 in there. 
"25 Mar 2020, 10:27:54",Great morning for it. Cheers for your help earlier Rob - dog and owner reunited!
"29 Mar 2020, 12:19:15",Big pace that Perks! 
"29 Mar 2020, 12:21:31",😂 That's my target half marathon pace
"15 Apr 2020, 19:07:38",DQ'd for being too good. What a lad.
"17 Apr 2020, 09:02:54",Nice work Fi! 
"28 Apr 2020, 18:38:40",Some absolutely monster stats there Kel! 
"28 Apr 2020, 18:38:52",Enjoying it? 
"29 Apr 2020, 08:14:18",What do you think dude? 
"29 Apr 2020, 08:20:20",Very nice! 
"9 May 2020, 10:01:56",💪👏
"18 May 2020, 17:32:24",Well done Kel 💪
"24 May 2020, 19:32:02",Very nice Steph! 
"27 May 2020, 08:41:13",The rule on Strava is you have to post a sassy picture of yourself wearing your new kit. Also your run title should be 'Testing out the new shorts' and in the description you need to give a detailed account of why they made you faster / slower 😂
"27 May 2020, 08:41:31",Great run btw 
"28 May 2020, 12:48:03",Bravo 🙌
"30 May 2020, 18:39:41",Lovely photo 📸
"4 Jun 2020, 18:01:24",The shoe name 😂
"4 Jun 2020, 18:04:42",Haha that was hard
"5 Jun 2020, 13:33:38",Great run Eira 🔥
"5 Jun 2020, 14:39:31",Tanking round Watopia dude! 
"6 Jun 2020, 22:56:14",Well in there Jonesy Lad
"16 Jun 2020, 09:40:30",What you got?
"16 Jun 2020, 09:50:03",Very nice! They look amazing. I'm confident they will help you to some pbs. 
"16 Jun 2020, 09:50:32",Probably your choice of music that was the problem. 
"19 Jun 2020, 10:04:56",Nice dude 👏
"29 Jun 2020, 19:33:44",Amazing Jo! 🥳
"1 Jul 2020, 12:54:44",Great run Steph! 
"8 Jul 2020, 11:43:59",Yes Jo! 
"8 Jul 2020, 11:44:10",How many laps is that? 
"9 Jul 2020, 19:19:31",Very nice Jonesy
"9 Jul 2020, 19:37:37",Yeah you are! 
"10 Jul 2020, 08:14:33",Getting quicker!
"11 Jul 2020, 11:07:09",Oh yes!!! 
"11 Jul 2020, 11:31:16",😂
"14 Jul 2020, 13:29:05","Ha, didn't see that. Easy work for you now! "
"18 Jul 2020, 18:33:24",Yeah I was going to say get some Brooks Ghosts 👍
"22 Jul 2020, 10:39:58",Casual 10 miles this morning Steph? Starting to get on the long runs before Manchester marathon in April?! 
"28 Jul 2020, 06:55:34",Fast Ash. Stop pausing your watch 😂
"28 Jul 2020, 06:57:49",That looks like a Slow Worm Chez. Ironic name. Still really cool. 
"28 Jul 2020, 06:58:42","Adders have a distinct pattern down their backs, and they're pretty hench. "
"28 Jul 2020, 10:37:36",Blimey Jo! 
"28 Jul 2020, 10:38:14",#manchester2021
"29 Jul 2020, 16:12:28",Very nice Tom 👏
"1 Aug 2020, 11:16:20",Amazing. Let me know the next time you do it! 
"7 Aug 2020, 08:55:47",Steph! Very nice! 
"9 Aug 2020, 08:33:03","Superb, Jonesy 👏😎"
"18 Aug 2020, 07:53:21",Been there many times Eira. Running sucks sometimes. Forget about it for a few weeks and do something else. Then try it again. First few runs will feel heavy and slow but after those you'll start to feel good again. 
"10 Sep 2020, 18:47:25",Congrats guys. Lovely place for it! 
"18 Sep 2020, 19:33:12",Behave Tom 
"24 Sep 2020, 16:52:33",😂
"24 Sep 2020, 16:53:28",Kelsall pace that dude. 
"26 Sep 2020, 23:45:32",Oh yes! 
"2 Oct 2020, 19:08:05",Flying Jonesy! 
"3 Oct 2020, 10:06:55",Still a good run
"4 Oct 2020, 10:12:32",Well done Gab 💪
"12 Oct 2020, 07:22:58",😂 You literally live on the hill! Get up there! 
"13 Oct 2020, 18:32:49",Yeah it was a tad uphill! 
"16 Oct 2020, 13:52:08","Haha, that's what I'm calling it Tom! "
"28 Oct 2020, 19:02:04",Tell me more? 
"28 Oct 2020, 19:19:25",Very nice. Looks like your pretty much there! 
"31 Oct 2020, 13:31:34",Now put your feet up Gab 😂
"5 Nov 2020, 21:17:05",It's long 😂 just settle in and don't wear yourself out too early. I think it unlocks at level 10 or something. 
"5 Nov 2020, 21:17:52",It's an hour or so of climbing and 10 mins of descending 
"6 Nov 2020, 18:53:20",Behave Sam! Awesome running 🔥
"13 Nov 2020, 19:34:27",😂 Cheers Ben. You had a decent amount of climbing for the distance to be fair. You got your tyres blown up properly? 😉
"11 Dec 2020, 17:29:50",Yes ChezzyLad
"10 Jan 2021, 16:11:21",👏
"17 Jan 2021, 12:15:06",Big run that Adam 👏
"31 Jan 2021, 18:51:10",Very good Janey. Now let's incorporate some speed drills into the training to start aiming for 50mins. 2021. Let's go. 
"11 Feb 2021, 19:24:02",Chin up Ben 😂
"12 Feb 2021, 11:37:55",Nice work BC! 
"22 Feb 2021, 09:21:00",Huge effort for a new dad that Si.
"24 Feb 2021, 18:57:18",Big Dog on the weights! 
"24 Feb 2021, 20:28:36",Try using a mountain bike on the jungle loop Bec! Zwift made them more efficient on the gravel
"10 Mar 2021, 17:41:48",Thanks Tom - thought it was you. Nice running. I'm a big fan of the route you did.
"10 Mar 2021, 17:41:56",Thanks Helen!
"19 Mar 2021, 19:23:56",Queen Emily 👑💪
"21 Mar 2021, 11:45:30",Great ride Chez 🔥
